"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3011","Cancel Booking","chromium","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
"","2893","Validate Add Event validations functionality","chromium","2026-04-28","passed","2026-04-28","","events.spec.js","",""
"","4403","Validate Add Event validations functionality","webkit","2026-04-28","passed","2026-04-28","","events.spec.js","",""
"","3117","My Booking navigation and validate clear booking and click","firefox","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
"","3011","Validate Add Event validations functionality","","2026-04-28","passed","2026-04-28","","events.spec.js","",""
"","2877","Verify Events Navigation","firefox","2026-04-28","passed","2026-04-28","","events.spec.js","",""
"","2926","Verify Events Navigation","","2026-04-28","passed","2026-04-28","","events.spec.js","",""
"","4884","Navigation to new page through API docs","firefox","2026-04-28","passed","2026-04-28","","ApiDocs.spec.js","",""
"","2475","Verify Event page and its webelements","firefox","2026-04-28","passed","2026-04-28","","events.spec.js","",""
"","2041","Navigate my bookings and search bookings","chromium","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
"","3275","Navigation to new page through API docs","chromium","2026-04-28","passed","2026-04-28","","ApiDocs.spec.js","",""
"","4097","Validate Add Event validations functionality","firefox","2026-04-28","passed","2026-04-28","","events.spec.js","",""
"","4459","Navigation to new page through API docs","webkit","2026-04-28","passed","2026-04-28","","ApiDocs.spec.js","",""
"","4359","Cancel Booking","webkit","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
"","2692","Verify Home Page WebElements","webkit","2026-04-28","passed","2026-04-28","","home.spec.js","",""
"","2041","Verify Event page and its webelements","","2026-04-28","passed","2026-04-28","","events.spec.js","",""
"","2831","Verify Events Navigation","webkit","2026-04-28","passed","2026-04-28","","events.spec.js","",""
"","3156","Navigate my bookings and search bookings","firefox","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
"","3794","Cancel Booking","firefox","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
"","3609","Create My booking","firefox","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
"","2791","Navigate my bookings and search bookings","","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
"","2532","Create My booking","","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
"","2006","Verify Login is done","firefox","2026-04-28","passed","2026-04-28","","home.spec.js","",""
"","1808","Verify Login is done","chromium","2026-04-28","passed","2026-04-28","","home.spec.js","",""
"","2999","Verify Event page and its webelements","chromium","2026-04-28","passed","2026-04-28","","events.spec.js","",""
"","1768","Verify Home Page WebElements","","2026-04-28","passed","2026-04-28","","home.spec.js","",""
"","4439","Navigation to new page through API docs","","2026-04-28","passed","2026-04-28","","ApiDocs.spec.js","",""
"","3154","My Booking navigation and validate clear booking and click","webkit","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
"","2745","Verify Event page and its webelements","webkit","2026-04-28","passed","2026-04-28","","events.spec.js","",""
"","1864","My Booking navigation and validate clear booking and click","","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
"","2306","Create My booking","chromium","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
"","5268","Navigate my bookings and search bookings","webkit","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
"","1847","Verify Login is done","","2026-04-28","passed","2026-04-28","","home.spec.js","",""
"","2315","Verify Home Page WebElements","firefox","2026-04-28","passed","2026-04-28","","home.spec.js","",""
"","1672","Verify Home Page WebElements","chromium","2026-04-28","passed","2026-04-28","","home.spec.js","",""
"","2298","Cancel Booking","","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
"","4941","Create My booking","webkit","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
"","1910","Verify Events Navigation","chromium","2026-04-28","passed","2026-04-28","","events.spec.js","",""
"","2759","Verify Login is done","webkit","2026-04-28","passed","2026-04-28","","home.spec.js","",""
"","1704","My Booking navigation and validate clear booking and click","chromium","2026-04-28","passed","2026-04-28","","myBookings.spec.js","",""
